BIRIM;TARIH;SAAT;CIRO;  altin ;euro;dolar;temperature;special days
B;1.1.2011;10;0;70162,17;20680;15450;3;1
B;1.1.2011;11;0;70162,17;20680;15450;3;1
B;1.1.2011;12;0;70162,17;20680;15450;3;1
B;1.1.2011;13;0;70162,17;20680;15450;3;1
B;1.1.2011;14;1751.6;70162,17;20680;15450;3;1
B;1.1.2011;15;2246.04;70162,17;20680;15450;3;1
B;1.1.2011;16;2509.84;70162,17;20680;15450;3;1
B;1.1.2011;17;2542.55;70162,17;20680;15450;3;1
B;1.1.2011;18;1686.74;70162,17;20680;15450;3;1
B;1.1.2011;19;3129.87;70162,17;20680;15450;3;1
B;1.1.2011;20;1928.16;70162,17;20680;15450;3;1
B;1.1.2011;21;2025.39;70162,17;20680;15450;3;1
B;2.1.2011;10;0;70162,17;20680;15450;8;0
B;2.1.2011;11;342.31;70162,17;20680;15450;8;0
B;2.1.2011;12;192.88;70162,17;20680;15450;8;0
B;2.1.2011;13;1235.09;70162,17;20680;15450;8;0
B;2.1.2011;14;1644.91;70162,17;20680;15450;8;0
B;2.1.2011;15;1657.79;70162,17;20680;15450;8;0
B;2.1.2011;16;4687.7;70162,17;20680;15450;8;0
B;2.1.2011;17;3403.9;70162,17;20680;15450;8;0
B;2.1.2011;18;3006.37;70162,17;20680;15450;8;0
B;2.1.2011;19;2393.22;70162,17;20680;15450;8;0
B;2.1.2011;20;2339;70162,17;20680;15450;8;0
B;2.1.2011;21;1349.8;70162,17;20680;15450;8;0
B;3.1.2011;10;166.73;70162,17;20705;15551;8;0
B;3.1.2011;11;183.34;70162,17;20705;15551;8;0
B;3.1.2011;12;319.78;70162,17;20705;15551;8;0
B;3.1.2011;13;613.99;70162,17;20705;15551;8;0
B;3.1.2011;14;627.71;70162,17;20705;15551;8;0
B;3.1.2011;15;1804.31;70162,17;20705;15551;8;0
B;3.1.2011;16;1716.52;70162,17;20705;15551;8;0
B;3.1.2011;17;950.39;70162,17;20705;15551;8;0
B;3.1.2011;18;1024.75;70162,17;20705;15551;8;0
B;3.1.2011;19;798.77;70162,17;20705;15551;8;0
B;3.1.2011;20;857.04;70162,17;20705;15551;8;0
B;3.1.2011;21;441.93;70162,17;20705;15551;8;0
B;4.1.2011;10;127.06;71061,48;20777;15519;4;0
B;4.1.2011;11;556.37;71061,48;20777;15519;4;0
B;4.1.2011;12;725.67;71061,48;20777;15519;4;0
B;4.1.2011;13;891.52;71061,48;20777;15519;4;0
B;4.1.2011;14;522.45;71061,48;20777;15519;4;0
B;4.1.2011;15;698.97;71061,48;20777;15519;4;0
B;4.1.2011;16;751.6;71061,48;20777;15519;4;0
B;4.1.2011;17;765.16;71061,48;20777;15519;4;0
B;4.1.2011;18;590.02;71061,48;20777;15519;4;0
B;4.1.2011;19;667.01;71061,48;20777;15519;4;0
B;4.1.2011;20;1012.31;71061,48;20777;15519;4;0
B;4.1.2011;21;1222.89;71061,48;20777;15519;4;0
B;5.1.2011;10;113.36;70292,39;20481;15474;7;0
B;5.1.2011;11;404.1;70292,39;20481;15474;7;0
B;5.1.2011;12;850.46;70292,39;20481;15474;7;0
B;5.1.2011;13;413.92;70292,39;20481;15474;7;0
B;5.1.2011;14;1020.24;70292,39;20481;15474;7;0
B;5.1.2011;15;581.21;70292,39;20481;15474;7;0
B;5.1.2011;16;837.44;70292,39;20481;15474;7;0
B;5.1.2011;17;917.83;70292,39;20481;15474;7;0
B;5.1.2011;18;918.38;70292,39;20481;15474;7;0
B;5.1.2011;19;207.28;70292,39;20481;15474;7;0
B;5.1.2011;20;1413.55;70292,39;20481;15474;7;0
B;5.1.2011;21;4052.49;70292,39;20481;15474;7;0
B;6.1.2011;10;0;68831,01;20298;15476;2;0
B;6.1.2011;11;396.38;68831,01;20298;15476;2;0
B;6.1.2011;12;1365.15;68831,01;20298;15476;2;0
B;6.1.2011;13;1520.28;68831,01;20298;15476;2;0
B;6.1.2011;14;915.33;68831,01;20298;15476;2;0
B;6.1.2011;15;896.27;68831,01;20298;15476;2;0
B;6.1.2011;16;961.64;68831,01;20298;15476;2;0
B;6.1.2011;17;579.54;68831,01;20298;15476;2;0
B;6.1.2011;18;1451.99;68831,01;20298;15476;2;0
B;6.1.2011;19;1570.73;68831,01;20298;15476;2;0
B;6.1.2011;20;910.64;68831,01;20298;15476;2;0
B;6.1.2011;21;1013.38;68831,01;20298;15476;2;0
B;7.1.2011;10;83.23;68503,34;20318;15646;6;0
